,Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
163,Gunstock,New Hampshire,2300,1400,0,0,0,1,2,2,0,1,6,55,4,2,227,176,106,82,120,80,92,106,60,1
164,King Pine,New Hampshire,850,350,0,0,0,0,0,3,0,3,6,17,2,0,48,45,105,57,120,42,58,107,23,1
165,Loon Mountain,New Hampshire,3050,2100,1,0,0,3,1,1,3,2,11,61,6,2,370,322,149,53,160,66,76,144,0,1
166,Mount Sunapee,New Hampshire,2743,1510,0,0,0,2,1,2,1,4,10,66,4,1,232,215,130,71,100,83,93,136,0,1
167,Pats Peak,New Hampshire,1460,770,0,0,0,0,0,4,2,5,11,28,3,2,115,115,109,56,100,58,72,112,93,1
168,Ragged Mountain Resort,New Hampshire,2250,1250,0,0,1,1,0,1,0,3,6,57,3,1,250,200,140,54,100,74,84,140,0,1
169,Waterville Valley,New Hampshire,4004,2020,0,0,0,2,0,2,3,4,11,62,4,2,265,220,142,54,148,79,93,142,0,1
170,Whaleback Mountain,New Hampshire,1800,700,0,0,0,0,0,0,1,3,4,30,1,1,85,60,105,64,110,30,45,105,55,1
171,Wildcat Mountain,New Hampshire,4062,2112,0,0,0,1,0,3,0,1,5,48,0,3,225,200,156,61,200,79,89,150,0,1
172,Campgaw Mountain,New Jersey,726,274,0,0,0,0,0,0,2,3,5,12,1,0,23,23,80,58,45,80,80,80,14,1
173,Mountain Creek Resort,New Jersey,1480,1040,1,0,0,2,2,1,1,3,10,46,3,2,167,167,90,54,65,80,80,100,167,1
174,Angel Fire Resort,New Mexico,10677,2077,0,0,0,2,0,0,3,2,7,81,3,3,560,230,101,53,210,77,77,101,50,0
175,Enchanted Forest Ski Area,New Mexico,10078,400,0,0,0,0,0,0,0,0,0,33,0,2,600,175,130,34,240,20,20,140,0,0
176,Pajarito Mountain Ski Area,New Mexico,10441,1410,0,0,0,0,1,1,3,1,6,45,2,1,750,35,89,62,163,49,49,117,0,0
177,Red River,New Mexico,10350,1600,0,0,0,0,1,3,1,2,7,63,3,2,209,175,110,60,214,79,79,110,0,0
178,Sandia Peak,New Mexico,10378,1700,0,0,0,0,0,0,4,1,5,39,1,2,200,30,32,82,100,55,55,38,0,0
179,Sipapu Ski Resort,New Mexico,9255,1055,0,0,0,0,1,2,0,3,6,42,4,0,200,140,127,67,190,47,47,143,0,0
180,Ski Apache,New Mexico,11500,1900,1,0,0,0,2,6,0,2,11,55,3,2,750,270,133,58,185,74,74,124,0,0
181,Ski Santa Fe,New Mexico,12075,1725,0,0,0,0,1,2,2,2,7,83,1,3,660,275,107,73,225,80,80,130,0,0
182,Taos Ski Valley,New Mexico,12481,3281,1,0,0,1,3,4,1,4,14,111,1,5,1294,647,137,64,300,110,110,136,0,0
183,Belleayre,New York,3429,1404,1,0,0,1,1,1,2,2,8,50,2,2,175,168,154,70,130,60,72,150,0,1
184,Brantling Ski Slopes,New York,850,250,0,0,0,0,0,0,0,5,5,10,0,0,20,16,115,19,110,32,32,120,0,1
185,Bristol Mountain,New York,2200,1200,0,0,0,2,1,1,1,1,6,34,3,2,160,148,129,55,60,65,76,129,154,1
186,Buffalo Ski Club Ski Area,New York,3429,500,0,0,0,0,0,0,2,4,6,43,1,1,225,150,115,12,185,35,50,120,100,1
187,Catamount,New York,2000,1000,0,0,0,0,1,1,2,3,7,36,5,2,133,130,100,80,108,38,69,90,55,1
188,Dry Hill Ski Area,New York,950,300,0,0,0,0,0,0,1,2,3,7,1,0,35,26,115,55,125,50,35,120,26,1
189,Gore Mountain,New York,3600,2537,1,0,0,2,2,3,2,4,14,110,7,4,439,338,142,55,150,80,88,142,15,1
190,Greek Peak,New York,2100,952,0,0,0,0,1,1,4,2,8,56,4,2,220,184,110,62,122,49,63,113,175,1
191,Holiday Mountain,New York,1550,400,0,0,0,0,1,0,1,2,4,9,0,0,37,37,75,60,50,27,42,85,37,1
192,Holiday Valley,New York,2250,750,0,0,0,3,8,0,0,2,13,60,5,1,290,266,116,62,180,65,78,129,189,1
193,Holimont Ski Area,New York,2260,700,0,0,0,1,1,2,3,1,8,53,3,2,135,135,110,57,180,62,75,119,0,1
194,Hunt Hollow Ski Club,New York,2030,825,0,0,0,0,0,1,1,1,3,19,1,1,400,400,75,52,130,48,58,75,400,1
195,Hunter Mountain,New York,3200,1600,0,0,2,1,2,2,2,4,13,67,4,2,320,320,148,59,120,79,89,155,0,1
196,Kissing Bridge,New York,1700,550,0,0,0,0,2,1,4,3,10,39,5,0,700,550,103,59,120,40,60,100,650,1
197,Labrador Mt.,New York,1825,700,0,0,0,0,0,1,2,1,4,23,1,1,250,237,100,62,125,59,59,100,180,1
198,Maple Ski Ridge,New York,1200,450,0,0,0,0,0,1,1,1,3,10,0,0,25,25,115,57,185,26,38,120,20,1
199,McCauley Mountain Ski Center,New York,2250,633,0,0,0,0,0,0,1,4,5,23,1,0,70,55,105,61,200,20,30,105,0,1
200,Mount Peter Ski Area,New York,1250,450,0,0,0,0,1,0,2,2,5,14,1,1,69,69,100,83,50,35,54,100,69,1
201,Oak Mountain,New York,2400,650,0,0,0,0,1,0,0,3,4,22,1,1,46,18,115,71,120,40,40,120,12,1
202,Peek'n Peak,New York,1800,400,0,0,0,0,0,8,0,2,10,27,4,2,110,110,110,55,225,49,63,110,110,1
203,Plattekill Mountain,New York,3500,1100,0,0,0,0,0,1,1,2,4,38,1,2,110,75,65,26,175,50,67,65,0,1
204,Royal Mountain Ski Area,New York,1800,550,0,0,0,0,0,0,3,0,3,14,0,0,35,28,115,63,90,45,45,120,0,1
205,Snow Ridge,New York,2000,650,0,0,0,0,0,0,4,2,6,21,2,1,130,65,73,74,230,38,48,100,40,1
206,Song Mountain,New York,1940,700,0,0,0,0,0,1,1,3,5,24,0,0,93,70,90,55,125,59,59,122,70,1
207,Swain,New York,1970,650,0,0,0,0,3,0,1,1,5,35,3,1,130,90,102,72,120,49,59,100,80,1
208,Thunder Ridge,New York,1270,500,0,0,0,0,0,1,2,3,6,30,0,0,100,100,121,60,185,50,57,121,100,1
209,Titus Mountain,New York,2025,1200,0,0,0,0,0,2,6,2,10,50,3,2,200,150,101,59,150,39,49,100,70,1
210,Toggenburg Mountain,New York,2000,700,0,0,0,0,0,1,1,3,5,22,2,0,85,175,122,66,130,55,55,122,73,1
211,West Mountain,New York,1470,1010,0,0,0,0,0,1,2,2,5,29,1,1,124,105,120,58,80,49,59,120,105,1
212,Whiteface Mountain Resort,New York,4650,3430,1,0,0,1,1,2,5,2,12,86,5,2,288,220,122,61,168,96,96,141,0,1
213,Willard Mountain,New York,1415,505,0,0,0,0,0,0,2,3,5,16,0,0,50,35,85,19,80,46,46,120,35,1
214,Windham Mountain,New York,3100,1600,0,0,1,2,0,3,1,5,12,54,6,2,285,280,123,59,105,85,95,130,56,1
215,Woods Valley Ski Area,New York,1400,500,0,0,0,0,0,0,2,4,6,21,0,0,25,16,115,55,180,31,39,120,15,1
216,Appalachian Ski Mountain,North Carolina,4000,365,0,0,0,0,2,0,1,2,5,12,3,0,27,27,100,57,50,40,64,100,27,1
217,Cataloochee Ski Area,North Carolina,5400,740,0,0,0,0,1,1,1,2,5,18,2,1,50,50,141,58,50,43,70,108,50,1
218,Sapphire Valley,North Carolina,3450,200,0,0,0,0,1,0,0,2,3,1,1,1,8,8,53,55,24,40,43,60,8,1
219,Beech Mountain Resort,North Carolina,5506,830,0,0,0,0,3,0,3,2,8,17,1,1,95,95,98,52,31,41,68,98,95,1
220,Sugar Mountain Resort,North Carolina,5300,1200,0,0,1,0,0,1,4,2,8,21,1,2,125,125,114,50,77,45,75,120,95,1
221,Wolf Ridge Ski Resort,North Carolina,4700,720,0,0,0,0,1,0,1,2,4,15,1,1,65,65,100,49,65,42,65,100,60,1
222,Alpine Valley,Ohio,1500,230,0,0,0,0,1,2,1,1,5,11,1,0,72,72,105,53,120,43,43,105,72,1
223,Boston Mills,Ohio,871,264,0,0,0,0,0,4,2,2,8,7,2,0,40,40,92,56,51,44,44,110,40,1
224,Brandywine,Ohio,871,240,0,0,0,0,2,7,2,5,16,11,2,0,85,85,92,56,51,44,44,110,85,1
225,Mad River Mountain,Ohio,1460,300,0,0,0,0,1,2,3,6,12,20,4,0,144,144,99,57,36,39,44,90,144,1
226,Snow Trails,Ohio,1475,301,0,0,0,0,0,4,2,3,9,17,3,0,80,80,101,58,50,41,52,70,80,1
227,Anthony Lakes Mountain Resort,Oregon,8000,900,0,0,0,0,0,1,0,2,3,21,2,2,1100,175,75,56,300,40,40,80,0,0
228,Cooper Spur,Oregon,4000,350,0,0,0,0,0,0,1,1,2,10,0,0,50,175,78,66,100,39,39,90,0,1
229,Hoodoo Ski Area,Oregon,5703,1035,0,0,0,0,3,1,1,0,5,34,0,0,806,175,80,81,350,59,59,108,200,0
230,Mt. Ashland,Oregon,7533,1150,0,0,0,0,0,2,2,1,5,23,2,1,220,175,94,55,300,45,52,92,40,0
231,Mt. Bachelor,Oregon,9065,3365,0,0,0,8,0,3,0,0,11,101,5,4,4318,20,185,61,462,99,99,185,0,0
232,Mt. Hood Meadows,Oregon,7300,2777,0,0,0,6,0,0,5,2,13,85,6,3,2150,175,118,51,430,54,54,160,170,0
233,Mt. Hood Skibowl,Oregon,5100,1500,0,0,0,0,0,0,4,5,9,65,2,3,960,29,125,82,300,70,70,144,317,1
234,Spout Springs,Oregon,5500,610,0,0,0,0,0,0,2,2,4,14,0,0,200,175,117,19,118,61,62,125,100,1
235,Timberline Lodge,Oregon,8540,3690,0,0,0,5,0,1,1,1,8,41,5,2,1415,175,305,82,550,54,54,305,300,0
236,Willamette Pass,Oregon,6683,1563,0,0,1,0,0,3,0,1,5,29,0,2,555,60,3,78,430,60,60,100,0,0
237,Bear Creek Mountain Resort,Pennsylvania,1100,510,0,0,0,0,3,1,0,2,6,23,3,1,86,86,91,52,30,50,60,90,86,1
238,Ski Big Bear,Pennsylvania,1250,650,0,0,0,0,0,0,4,2,6,18,1,2,26,26,75,43,69,50,62,75,26,1
239,Big Boulder,Pennsylvania,2175,600,0,0,0,0,0,2,5,1,8,16,8,1,55,55,76,72,50,50,65,95,55,1
240,Blue Knob,Pennsylvania,3146,1072,0,0,0,0,0,2,2,2,6,34,1,2,100,84,87,56,120,43,68,105,42,1
241,Blue Mountain Resort,Pennsylvania,1600,1082,0,0,1,1,1,1,3,9,16,39,5,1,164,164,122,42,33,55,65,112,164,1
242,Camelback Mountain Resort,Pennsylvania,2100,800,0,0,0,2,0,3,5,6,16,37,5,1,166,166,100,56,50,55,70,100,160,1
243,Eagle Rock,Pennsylvania,1810,550,0,0,0,0,0,0,3,0,3,14,1,1,215,175,40,47,185,53,64,40,0,1
244,Elk Mountain Ski Resort,Pennsylvania,2693,1000,0,0,0,0,1,0,5,1,7,27,2,1,180,146,100,60,60,55,69,100,90,1
245,Jack Frost,Pennsylvania,2000,600,0,0,0,0,1,2,5,1,9,20,1,1,100,100,96,47,50,50,65,105,0,1
246,Liberty,Pennsylvania,1190,620,0,0,0,0,5,0,0,3,8,16,3,1,100,100,107,54,31,67,77,97,100,1
247,Mount Pleasant of Edinboro,Pennsylvania,1540,340,0,0,0,0,0,1,0,1,2,10,0,0,40,35,75,48,100,30,33,90,35,1
248,Roundtop Mountain Resort,Pennsylvania,1400,600,0,0,0,0,3,2,0,3,8,20,2,0,103,103,115,55,30,63,73,120,100,1
249,Seven Springs,Pennsylvania,2994,750,0,0,2,0,3,5,0,4,14,33,7,1,285,285,99,87,135,67,87,115,200,1
250,Shawnee Mountain Ski Area,Pennsylvania,1350,700,0,0,0,1,1,0,4,4,10,23,2,2,125,125,100,44,50,55,65,122,120,1
251,Ski Sawmill,Pennsylvania,2215,515,0,0,0,0,0,1,1,3,5,14,1,0,15,13,90,50,24,30,44,90,15,1
252,Montage Mountain,Pennsylvania,1960,1000,0,0,0,0,1,3,1,2,7,26,1,1,140,140,60,35,47,67,64,90,140,1
253,Spring Mountain Ski Area,Pennsylvania,528,450,0,0,0,0,0,1,3,2,6,9,1,0,45,45,100,56,20,53,64,100,45,1
254,Tussey Mountain,Pennsylvania,1750,520,0,0,0,0,1,0,1,3,5,8,1,0,38,30,100,39,41,40,45,100,30,1
255,Whitetail Resort,Pennsylvania,1800,935,0,0,0,1,3,0,2,2,8,23,2,1,120,120,116,28,40,69,71,100,120,1
256,Yawgoo Valley,Rhode Island,315,245,0,0,0,0,0,0,2,2,4,13,1,0,30,30,100,54,40,57,64,100,30,1
257,Deer Mountain Ski Resort,South Dakota,6850,940,0,0,0,0,0,1,1,2,4,63,2,2,500,50,69,51,200,45,45,81,0,0
258,Terry Peak Ski Area,South Dakota,7100,1100,0,0,0,3,0,1,0,1,5,30,1,1,450,225,114,65,150,58,58,120,0,0
259,Ober Gatlinburg Ski Resort,Tennessee,3300,600,0,0,0,0,2,0,1,1,4,10,1,1,153,175,83,44,35,36,65,94,0,1
260,Alta Ski Area,Utah,11068,2538,0,0,0,3,0,1,2,0,6,116,0,1,2614,140,150,81,545,116,116,140,0,0
261,Beaver Mountain,Utah,8600,1600,0,0,0,0,0,1,3,1,5,48,2,1,464,175,120,81,400,50,50,120,0,0
262,Brian Head Resort,Utah,10970,1548,0,0,0,1,0,6,1,0,8,71,2,1,650,216,149,54,360,42,59,148,0,0
263,Brighton Resort,Utah,10500,1745,0,0,0,3,1,1,0,2,7,66,4,1,1050,200,138,83,500,85,85,138,200,0
264,Deer Valley Resort,Utah,9570,3000,1,0,0,13,0,5,2,0,21,103,0,3,2026,660,115,39,300,169,169,120,0,0
265,Eagle Point,Utah,10600,1500,0,0,0,0,1,1,2,1,5,40,1,1,650,175,109,9,400,45,60,109,0,0
266,Park City,Utah,10000,3200,4,0,6,10,4,7,4,6,41,341,8,4,7300,750,142,56,355,121,123,143,0,0
267,Powder Mountain,Utah,9422,2522,0,0,0,1,4,1,0,3,9,167,2,4,8464,175,120,47,500,88,88,146,300,0
268,Snowbasin,Utah,9350,2900,3,0,1,2,0,3,0,2,11,107,4,4,3000,625,143,79,300,115,115,138,0,0
269,Snowbird,Utah,11000,3240,1,0,0,6,0,0,4,3,14,170,1,2,2500,175,188,48,500,125,125,180,2,0
270,Solitude Mountain Resort,Utah,10488,2494,0,0,0,4,2,1,1,1,9,80,0,3,1200,150,161,62,500,109,119,148,0,0
271,Sundance,Utah,8250,2150,0,0,0,0,2,2,0,1,5,45,1,1,450,112,128,50,320,80,80,129,0,0
272,Nordic Valley Resort,Utah,6400,960,0,0,0,0,0,0,2,2,4,23,1,0,140,84,105,51,300,45,50,105,140,0
273,Bolton Valley,Vermont,3150,1704,0,0,0,0,2,0,3,1,6,71,3,1,300,90,133,53,300,69,79,132,50,1
274,Bromley Mountain,Vermont,3284,1334,0,0,0,1,1,0,4,3,9,47,1,2,178,153,152,83,168,87,91,152,0,1
275,Burke Mountain,Vermont,3267,2011,0,0,0,2,1,0,0,3,6,50,3,2,178,125,110,62,217,73,73,125,0,1
276,Jay Peak,Vermont,3968,2153,1,0,0,1,3,1,1,2,9,79,2,3,385,300,155,64,349,89,89,160,0,1
277,Killington Resort,Vermont,4241,3050,3,0,1,5,4,3,1,5,22,155,6,6,1515,600,192,61,250,119,119,192,0,1
278,Mad River Glen,Vermont,3637,2037,0,0,0,0,0,2,2,1,5,52,0,1,115,16,134,71,228,84,88,135,0,1
279,Magic Mountain,Vermont,2850,1500,0,0,0,0,0,0,3,3,6,50,1,2,205,95,76,59,150,74,74,80,0,1
280,Mount Snow,Vermont,3600,1700,0,0,1,3,1,6,4,5,20,86,10,3,600,480,135,65,156,84,88,135,0,1
281,Okemo Mountain Resort,Vermont,3344,2200,0,0,1,4,5,3,0,7,20,121,9,4,667,654,146,63,200,84,88,152,0,1
282,Pico Mountain ,Vermont,3967,1967,0,0,0,2,0,2,2,1,7,59,1,4,260,156,115,82,250,81,81,120,0,1
283,Smugglers' Notch Resort,Vermont,3640,2610,0,0,0,0,0,0,6,2,8,78,6,3,1000,192,136,63,280,79,79,135,0,1
284,Stowe Mountain Resort,Vermont,4395,2360,2,0,0,0,4,2,2,2,12,116,0,4,485,388,155,86,314,84,88,137,0,1
285,Stratton Mountain,Vermont,3875,2003,1,0,4,1,2,1,1,1,11,99,4,3,670,474,155,58,180,84,88,160,0,1
286,Sugarbush,Vermont,4083,2600,0,0,0,5,5,2,1,3,16,111,4,3,581,406,150,61,250,119,119,156,0,1
287,Suicide Six,Vermont,1200,650,0,0,0,0,0,0,2,1,3,24,0,0,100,50,100,85,90,45,75,106,0,1
288,Bryce Resort,Virginia,1750,500,0,0,0,0,1,0,1,5,7,8,0,0,25,25,100,54,30,43,68,95,20,1
289,Massanutten,Virginia,2925,1110,0,0,0,0,3,1,0,3,7,13,2,1,70,70,68,46,35,51,68,97,70,1
290,The Homestead Ski Area,Virginia,3200,700,0,0,0,0,0,0,1,1,2,10,0,1,45,100,91,60,50,51,68,100,0,1
291,Wintergreen Resort,Virginia,3515,1003,0,0,2,0,1,1,1,0,5,27,2,1,129,129,107,44,34,59,68,121,45,1
292,49 Degrees North,Washington,5774,1851,0,0,0,0,1,0,5,1,7,89,1,2,2325,175,101,48,301,62,62,135,250,0
293,Alpental,Washington,5420,2280,0,0,0,1,0,0,3,1,5,24,0,1,825,175,120,52,428,65,70,144,121,0
294,Bluewood,Washington,5670,1125,0,0,0,0,0,2,0,1,3,24,2,2,355,175,70,40,300,42,47,110,0,0
295,Crystal Mountain,Washington,7012,3100,1,0,2,2,1,2,2,0,10,57,1,2,2600,10,115,57,486,99,99,120,0,0
296,Mission Ridge,Washington,6820,2250,0,0,0,1,0,0,3,2,6,130,3,1,2000,66,104,53,200,65,70,96,500,0
297,Mt. Baker,Washington,5000,1500,0,0,0,0,8,0,0,2,10,38,0,1,1000,175,143,66,663,54,60,165,0,1
298,Mt. Spokane Ski and Snowboard Park,Washington,5889,2000,0,0,0,0,0,1,5,1,7,52,3,1,1704,175,100,81,300,45,59,103,45,0
299,Stevens Pass Resort,Washington,5845,1800,0,0,0,3,0,4,3,0,10,52,4,1,1125,175,116,82,460,65,70,145,450,0
300,The Summit at Snoqualmie,Washington,3865,1025,0,0,0,3,3,4,10,7,27,112,5,1,1994,5,120,82,428,85,95,140,541,1
301,White Pass,Washington,6550,2050,0,0,0,2,1,1,2,2,8,45,2,2,1402,30,148,67,400,69,69,144,90,0
302,Canaan Valley Resort,West Virginia,4280,850,0,0,0,0,1,2,0,1,4,47,1,1,95,75,93,48,160,52,68,93,0,1
303,Snowshoe Mountain Resort,West Virginia,4848,1500,0,0,0,3,2,6,0,3,14,60,5,2,257,257,125,46,180,70,87,138,86,1
304,Timberline Four Seasons,West Virginia,4265,1000,0,0,0,0,0,2,1,1,4,40,1,2,100,100,97,37,150,72,92,115,27,1
305,Winterplace Ski Resort,West Virginia,3600,603,0,0,0,0,2,3,2,2,9,27,2,1,90,90,120,36,100,56,72,120,74,1
306,Alpine Valley Resort,Wisconsin,1040,388,0,0,0,3,0,3,1,5,12,21,3,0,90,90,100,55,80,56,65,120,90,1
307,Bruce Mound,Wisconsin,1375,375,0,0,0,0,0,1,0,4,5,12,2,0,40,30,42,71,42,33,25,42,30,1
308,Cascade Mountain,Wisconsin,1280,460,0,0,0,2,2,3,2,3,12,47,4,1,175,175,120,57,56,59,64,120,0,1
309,Christie Mountain,Wisconsin,1650,350,0,0,0,0,0,0,1,5,6,30,4,1,45,41,92,43,48,28,38,120,35,1
310,Christmas Mountain,Wisconsin,1250,250,0,0,0,0,1,0,0,2,3,16,0,0,40,40,75,50,20,46,54,70,40,1
311,Devils Head,Wisconsin,995,500,0,0,0,0,3,1,6,2,12,27,1,1,260,260,110,48,45,45,65,135,200,1
312,Grand Geneva,Wisconsin,1086,211,0,0,0,0,0,0,3,3,6,20,1,0,30,30,90,25,25,28,49,93,30,1
313,Granite Peak Ski Area,Wisconsin,1942,700,0,0,1,2,0,2,0,2,7,75,4,1,220,160,136,82,75,92,92,135,200,1
314,Little Switzerland,Wisconsin,1269,200,0,0,0,0,0,0,4,4,8,18,3,1,50,50,115,64,185,33,41,120,50,1
315,Mount La Crosse,Wisconsin,1110,516,0,0,0,0,0,0,3,1,4,19,1,0,100,100,115,60,40,56,56,100,90,1
316,Nordic Mountain,Wisconsin,1137,265,0,0,0,0,0,1,1,5,7,18,4,1,60,60,68,43,80,46,47,90,60,1
317,Sunburst,Wisconsin,1100,214,0,0,0,0,0,0,3,6,9,13,4,0,37,37,99,59,50,33,44,115,37,1
318,Trollhaugen,Wisconsin,1200,260,0,0,0,0,2,0,1,5,8,24,4,0,86,86,130,69,50,54,54,120,86,1
319,Tyrol Basin,Wisconsin,1160,300,0,0,0,0,0,3,0,2,5,18,5,0,32,32,112,61,41,17,48,103,32,1
320,Whitecap Mountain,Wisconsin,1750,400,0,0,0,0,1,0,4,0,5,43,1,1,400,300,105,57,200,60,60,118,0,1
321,Wilmot Mountain,Wisconsin,1030,230,0,0,0,0,3,2,2,3,10,23,2,0,135,135,125,81,70,56,66,139,135,1
322,Grand Targhee Resort,Wyoming,9920,2270,0,0,0,2,2,0,0,1,5,95,1,3,2602,175,152,50,500,90,90,152,0,0
323,Hogadon Basin,Wyoming,8000,640,0,0,0,0,0,0,1,1,2,28,1,1,92,32,121,61,80,48,48,95,0,0
324,Jackson Hole,Wyoming,10450,4139,3,0,0,4,4,1,2,1,15,130,6,4,2500,195,130,54,459,58,56,133,0,0
325,Meadowlark Ski Lodge,Wyoming,9500,1000,0,0,0,0,0,1,1,1,3,14,1,2,300,175,115,9,185,58,56,120,0,0
326,Sleeping Giant Ski Resort,Wyoming,7428,810,0,0,0,0,0,1,1,1,3,48,1,1,184,18,61,81,310,42,42,77,0,0
327,Snow King Resort,Wyoming,7808,1571,0,0,0,0,1,1,1,0,3,32,2,1,400,250,121,80,300,59,59,123,110,0
328,Snowy Range Ski & Recreation Area,Wyoming,9663,990,0,0,0,0,0,1,3,1,5,33,2,1,75,30,131,59,250,49,49,131,0,0
329,White Pine Ski Area,Wyoming,9500,1100,0,0,0,0,0,2,0,0,2,25,0,0,370,175,115,81,150,58,49,120,0,0
